epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1564.73,1.18718,1.48903,1.42782,0.60823,0.50189,0.53061,0.32321,1.29007,1.46397,1.39456,0.007921,0.007921,0.007921
44,1600.42,1.17567,1.49272,1.42941,0.59422,0.51143,0.53405,0.32615,1.29847,1.46355,1.41204,0.0078715,0.0078715,0.0078715
45,1636.56,1.17557,1.47623,1.42574,0.58972,0.5043,0.53058,0.32852,1.29031,1.44873,1.39539,0.007822,0.007822,0.007822
46,1672.67,1.17321,1.47287,1.42372,0.58562,0.50976,0.52761,0.32345,1.29087,1.45305,1.40643,0.0077725,0.0077725,0.0077725
47,1709.27,1.17544,1.45929,1.42844,0.58544,0.51785,0.53541,0.33152,1.28275,1.43633,1.39873,0.007723,0.007723,0.007723
48,1745.18,1.17468,1.47734,1.42848,0.60695,0.51862,0.54731,0.33969,1.26715,1.44328,1.38634,0.0076735,0.0076735,0.0076735
49,1781.28,1.17991,1.47211,1.4252,0.60309,0.5127,0.54629,0.33984,1.27841,1.42042,1.39769,0.007624,0.007624,0.007624
50,1817.83,1.16397,1.46077,1.41864,0.6094,0.53007,0.55459,0.34437,1.26407,1.3997,1.37401,0.0075745,0.0075745,0.0075745
51,1854.16,1.17291,1.44661,1.4204,0.58553,0.52931,0.54195,0.3352,1.27485,1.42336,1.38289,0.007525,0.007525,0.007525
52,1890.03,1.15405,1.43226,1.41443,0.61461,0.52377,0.55477,0.3471,1.25937,1.3959,1.3784,0.0074755,0.0074755,0.0074755
53,1926.29,1.14828,1.42756,1.40566,0.61459,0.51946,0.55569,0.35078,1.2632,1.38467,1.36087,0.007426,0.007426,0.007426
54,1962.27,1.14918,1.43284,1.4042,0.62025,0.53428,0.56218,0.35348,1.2473,1.37382,1.3597,0.0073765,0.0073765,0.0073765
55,1998.48,1.15696,1.42435,1.41075,0.59437,0.54592,0.56427,0.35719,1.23595,1.35519,1.35434,0.007327,0.007327,0.007327
56,2034.39,1.14538,1.40767,1.39861,0.61822,0.53676,0.56257,0.35416,1.24072,1.3628,1.35376,0.0072775,0.0072775,0.0072775
57,2070.32,1.14419,1.409,1.39214,0.6237,0.53886,0.57122,0.36169,1.2394,1.35251,1.34074,0.007228,0.007228,0.007228
58,2107.33,1.14633,1.41784,1.40182,0.59985,0.55222,0.56855,0.35773,1.24012,1.35649,1.35113,0.0071785,0.0071785,0.0071785
59,2143.12,1.13789,1.39394,1.39621,0.60015,0.55776,0.56991,0.35965,1.24285,1.34481,1.35051,0.007129,0.007129,0.007129
60,2179.03,1.14176,1.40236,1.39535,0.61864,0.54993,0.56991,0.35964,1.23292,1.33694,1.3433,0.0070795,0.0070795,0.0070795
61,2215.17,1.1329,1.39099,1.39267,0.64571,0.54046,0.58222,0.36545,1.22565,1.33792,1.33471,0.00703,0.00703,0.00703
62,2251.69,1.13674,1.39496,1.39286,0.63821,0.53826,0.58057,0.36782,1.23077,1.31593,1.33743,0.0069805,0.0069805,0.0069805
63,2288.33,1.13018,1.39539,1.39177,0.61848,0.5544,0.58259,0.36922,1.21824,1.30937,1.33362,0.006931,0.006931,0.006931
64,2324.83,1.13257,1.39065,1.39163,0.6382,0.54344,0.58472,0.37334,1.21032,1.3113,1.32911,0.0068815,0.0068815,0.0068815
65,2360.88,1.12313,1.37464,1.3807,0.63905,0.54974,0.58929,0.37895,1.20488,1.29474,1.32382,0.006832,0.006832,0.006832
66,2397.14,1.12455,1.3817,1.38542,0.64271,0.55012,0.58961,0.37624,1.21353,1.30513,1.32379,0.0067825,0.0067825,0.0067825
67,2432.86,1.12457,1.37567,1.37879,0.64531,0.55032,0.59635,0.3814,1.21043,1.29152,1.32037,0.006733,0.006733,0.006733
68,2468.49,1.11419,1.36918,1.37959,0.6421,0.55224,0.59166,0.37987,1.2081,1.29089,1.3208,0.0066835,0.0066835,0.0066835
69,2504.52,1.11352,1.36271,1.37523,0.62972,0.56215,0.59119,0.37748,1.20099,1.2926,1.31387,0.006634,0.006634,0.006634
70,2540.15,1.11943,1.35988,1.37814,0.63256,0.5664,0.59952,0.38717,1.19618,1.26616,1.31242,0.0065845,0.0065845,0.0065845
71,2576.82,1.10585,1.34264,1.37559,0.64109,0.56082,0.59783,0.38678,1.19893,1.26659,1.31791,0.006535,0.006535,0.006535
72,2612.76,1.11206,1.35356,1.38011,0.65213,0.55222,0.59833,0.38706,1.19397,1.26773,1.31544,0.0064855,0.0064855,0.0064855
73,2648.53,1.11353,1.33747,1.3708,0.64818,0.5591,0.60061,0.39144,1.18392,1.25064,1.3067,0.006436,0.006436,0.006436
74,2684.44,1.11293,1.33639,1.37253,0.64757,0.56158,0.60568,0.39197,1.18381,1.25259,1.30602,0.0063865,0.0063865,0.0063865
75,2720.29,1.10679,1.34018,1.36945,0.63712,0.56368,0.60447,0.39312,1.1812,1.24989,1.301,0.006337,0.006337,0.006337
76,2756.23,1.101,1.33871,1.36302,0.65727,0.55318,0.606,0.39409,1.17788,1.25127,1.29426,0.0062875,0.0062875,0.0062875
