epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.73293,1.99642,3.1747,2.15873,0.01496,0.02597,0.00588,0.00145,3.33496,3.37066,15.9533,0.0829,0.0019,0.0019
2,7.54684,2.29566,2.71798,2.41517,0,0,0,0,nan,nan,nan,0.0648807,0.00388069,0.00388069
3,10.0998,2.24573,2.61516,2.44053,0,0,0,0,nan,nan,nan,0.0468416,0.00584159,0.00584159
4,12.5226,2.13203,2.45781,2.30036,0,0,0,0,nan,nan,nan,0.0287827,0.00778268,0.00778268
5,15.1931,2.0641,2.33102,2.16664,0.00328,0.48052,0.00245,0.0006,nan,nan,nan,0.010704,0.00970398,0.00970398
6,17.7974,2.07526,2.28624,2.11944,0,0,0,0,nan,nan,nan,0.0097525,0.0097525,0.0097525
7,20.4666,2.05597,2.23479,2.1328,5e-05,0.01299,2e-05,1e-05,4.0456,inf,21.6961,0.009703,0.009703,0.009703
8,23.5556,2.00093,2.17754,2.11865,0.00079,0.22727,0.00048,0.00014,3.66608,inf,10.907,0.0096535,0.0096535,0.0096535
9,26.3234,1.96175,2.03792,2.05776,0.01013,0.44156,0.00614,0.00178,3.12314,66.1896,3.54265,0.009604,0.009604,0.009604
10,29.1481,1.94744,2.02751,2.00165,0.10725,0.18831,0.06102,0.01495,2.73562,8.44588,2.90432,0.0095545,0.0095545,0.0095545
11,31.8817,1.87611,1.92279,1.94328,0.37864,0.37013,0.27941,0.09099,2.53023,7.5587,3.09016,0.009505,0.009505,0.009505
12,34.5856,1.89333,1.87686,1.94402,0.06183,0.18831,0.03752,0.01009,2.52408,6.95134,2.98827,0.0094555,0.0094555,0.0094555
13,37.5603,1.886,1.93857,1.95982,0.13555,0.24026,0.09545,0.02507,2.52767,11.0882,3.29894,0.009406,0.009406,0.009406
14,40.1662,1.83274,1.8321,1.91733,0.05843,0.30519,0.03617,0.00967,2.53345,6.72967,3.20885,0.0093565,0.0093565,0.0093565
15,42.9963,1.79726,1.76091,1.86186,0.47035,0.54205,0.48328,0.15409,1.93623,4.91406,2.16282,0.009307,0.009307,0.009307
16,45.6887,1.79708,1.6842,1.85829,0.18855,0.20779,0.11425,0.03643,2.42834,4.0886,2.63689,0.0092575,0.0092575,0.0092575
17,48.1527,1.81675,1.69953,1.8604,0.42508,0.47053,0.4005,0.15421,1.96346,3.00319,2.22763,0.009208,0.009208,0.009208
18,50.8403,1.77215,1.69961,1.85751,0.41537,0.47059,0.33013,0.0956,2.14941,4.95022,2.49334,0.0091585,0.0091585,0.0091585
19,53.6146,1.74344,1.707,1.78548,0.4726,0.48052,0.39647,0.13794,1.92267,2.172,2.22288,0.009109,0.009109,0.009109
20,56.3303,1.72348,1.62098,1.77593,0.52789,0.63168,0.57217,0.21229,2.00937,1.76758,2.14658,0.0090595,0.0090595,0.0090595
21,58.6082,1.73808,1.56267,1.77487,0.46751,0.63854,0.50163,0.21228,1.76,2.16292,1.94871,0.00901,0.00901,0.00901
22,61.0407,1.70781,1.53071,1.75454,0.36192,0.33117,0.25154,0.08271,2.0807,2.99955,2.49484,0.0089605,0.0089605,0.0089605
23,63.6898,1.68267,1.53453,1.76952,0.658,0.54972,0.612,0.24278,2.01213,1.70033,2.09324,0.008911,0.008911,0.008911
