epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2410.46,1.15486,1.42046,1.42457,0.58427,0.52645,0.54333,0.33707,1.25935,1.41824,1.41118,0.007921,0.007921,0.007921
44,2466.17,1.14315,1.42677,1.42326,0.59109,0.53065,0.54151,0.32768,1.28181,1.42835,1.42557,0.0078715,0.0078715,0.0078715
45,2522.35,1.13967,1.40796,1.41356,0.60546,0.52645,0.55407,0.34563,1.23878,1.39126,1.3895,0.007822,0.007822,0.007822
46,2578.11,1.13483,1.399,1.41326,0.60286,0.53428,0.5619,0.35107,1.24586,1.36984,1.39374,0.0077725,0.0077725,0.0077725
47,2634.76,1.13299,1.38263,1.41283,0.61259,0.55108,0.57303,0.35803,1.22703,1.35758,1.38377,0.007723,0.007723,0.007723
48,2690.14,1.13332,1.39971,1.41647,0.6107,0.54638,0.57551,0.36254,1.22525,1.34398,1.37435,0.0076735,0.0076735,0.0076735
49,2745.77,1.13517,1.38972,1.40827,0.6348,0.52816,0.57329,0.36368,1.20904,1.34677,1.36886,0.007624,0.007624,0.007624
50,2800.95,1.12631,1.37354,1.40338,0.61145,0.55089,0.5773,0.36453,1.21403,1.32665,1.36873,0.0075745,0.0075745,0.0075745
51,2856.29,1.12751,1.37361,1.40265,0.62324,0.54974,0.58115,0.36833,1.20226,1.32832,1.362,0.007525,0.007525,0.007525
52,2911.72,1.10679,1.34188,1.39099,0.63517,0.54745,0.58883,0.37683,1.19985,1.29676,1.35455,0.0074755,0.0074755,0.0074755
53,2967.17,1.10593,1.34338,1.3902,0.62085,0.55681,0.58995,0.37235,1.2152,1.31536,1.35831,0.007426,0.007426,0.007426
54,3022.73,1.10922,1.34862,1.39085,0.63037,0.56207,0.596,0.38518,1.18106,1.2843,1.34316,0.0073765,0.0073765,0.0073765
55,3077.83,1.10529,1.33338,1.38554,0.63219,0.56451,0.59664,0.38308,1.19074,1.27511,1.35155,0.007327,0.007327,0.007327
56,3133.59,1.09489,1.31513,1.37895,0.64741,0.557,0.59733,0.38195,1.18261,1.27798,1.34135,0.0072775,0.0072775,0.0072775
57,3189.18,1.09521,1.32277,1.37576,0.6435,0.55853,0.59915,0.38628,1.1734,1.26028,1.3353,0.007228,0.007228,0.007228
58,3244.94,1.10587,1.32793,1.38748,0.65648,0.55089,0.60223,0.38999,1.18317,1.25549,1.3433,0.0071785,0.0071785,0.0071785
59,3300.52,1.08587,1.30244,1.37346,0.62886,0.57819,0.60429,0.38714,1.1786,1.25979,1.33793,0.007129,0.007129,0.007129
60,3356.82,1.08426,1.30285,1.37139,0.63215,0.57285,0.59996,0.38767,1.1663,1.25215,1.32705,0.0070795,0.0070795,0.0070795
61,3413.12,1.08139,1.29082,1.37102,0.66671,0.56445,0.612,0.39812,1.16145,1.2338,1.3194,0.00703,0.00703,0.00703
62,3469.63,1.08648,1.29354,1.37133,0.66048,0.56313,0.61195,0.3975,1.16537,1.23411,1.32346,0.0069805,0.0069805,0.0069805
63,3525.68,1.08199,1.29385,1.37335,0.6652,0.55922,0.61459,0.40053,1.14968,1.219,1.31863,0.006931,0.006931,0.006931
64,3581.05,1.07287,1.2827,1.36276,0.65231,0.58621,0.61849,0.40557,1.14802,1.20888,1.3202,0.0068815,0.0068815,0.0068815
65,3636.44,1.0646,1.27027,1.35459,0.65973,0.5759,0.62292,0.41035,1.13738,1.20209,1.30577,0.006832,0.006832,0.006832
66,3691.94,1.06723,1.27377,1.35938,0.65308,0.58946,0.6244,0.41034,1.14277,1.2085,1.31072,0.0067825,0.0067825,0.0067825
67,3748.29,1.06735,1.27028,1.35627,0.64544,0.59156,0.62317,0.41055,1.13502,1.19661,1.30433,0.006733,0.006733,0.006733
68,3803.82,1.05574,1.25641,1.35123,0.67026,0.57552,0.62809,0.41532,1.13905,1.18984,1.30288,0.0066835,0.0066835,0.0066835
69,3859.71,1.05985,1.2519,1.35103,0.67008,0.58213,0.63137,0.41574,1.14088,1.18005,1.30543,0.006634,0.006634,0.006634
70,3915.07,1.06462,1.24187,1.34849,0.67121,0.58668,0.62843,0.41358,1.14332,1.18524,1.30893,0.0065845,0.0065845,0.0065845
71,3971.08,1.04183,1.22962,1.34008,0.66718,0.59462,0.62951,0.41455,1.13637,1.17586,1.30131,0.006535,0.006535,0.006535
72,4026.29,1.05186,1.24426,1.34678,0.65169,0.60225,0.6287,0.41683,1.1288,1.17691,1.29072,0.0064855,0.0064855,0.0064855
73,4082.45,1.04843,1.21759,1.33555,0.65956,0.60449,0.63038,0.41735,1.12737,1.16858,1.29189,0.006436,0.006436,0.006436
74,4138.49,1.05011,1.21395,1.33967,0.66004,0.60133,0.63052,0.41892,1.11927,1.16297,1.28841,0.0063865,0.0063865,0.0063865
75,4194.28,1.04618,1.22308,1.33655,0.67102,0.595,0.62913,0.41662,1.12187,1.16114,1.29152,0.006337,0.006337,0.006337
76,4249.53,1.03552,1.20389,1.32979,0.67694,0.59519,0.63427,0.4238,1.11677,1.15046,1.28612,0.0062875,0.0062875,0.0062875
77,4305.94,1.03408,1.21008,1.32763,0.67226,0.60512,0.63842,0.4272,1.1155,1.14694,1.28631,0.006238,0.006238,0.006238
78,4361.67,1.02188,1.1934,1.32523,0.67886,0.60416,0.63873,0.42701,1.11667,1.1463,1.28904,0.0061885,0.0061885,0.0061885
79,4417.25,1.02682,1.19415,1.32673,0.6701,0.61352,0.64022,0.43138,1.10867,1.13293,1.28393,0.006139,0.006139,0.006139
80,4472.72,1.01808,1.19264,1.32074,0.67776,0.60244,0.64161,0.43348,1.10365,1.13191,1.27926,0.0060895,0.0060895,0.0060895
81,4527.77,1.01715,1.18112,1.32164,0.6869,0.59694,0.64252,0.43206,1.10621,1.13349,1.28185,0.00604,0.00604,0.00604
82,4582.97,1.01895,1.19516,1.31905,0.68003,0.59958,0.64081,0.43062,1.10077,1.13464,1.28033,0.0059905,0.0059905,0.0059905
83,4638.29,1.01502,1.16834,1.31334,0.67884,0.60053,0.64126,0.43077,1.10349,1.13223,1.28704,0.005941,0.005941,0.005941
84,4693.49,1.01083,1.1646,1.31258,0.6854,0.59958,0.64267,0.43172,1.10292,1.12951,1.28346,0.0058915,0.0058915,0.0058915
85,4749.17,1.00591,1.17607,1.31526,0.68031,0.59824,0.63812,0.42482,1.11136,1.13832,1.29185,0.005842,0.005842,0.005842
86,4804.62,1.00402,1.15747,1.31079,0.68114,0.60474,0.64108,0.42932,1.10225,1.12958,1.28475,0.0057925,0.0057925,0.0057925
87,4860.76,0.99613,1.14242,1.30147,0.68118,0.60454,0.64227,0.43044,1.10362,1.12785,1.28531,0.005743,0.005743,0.005743
88,4915.58,0.99996,1.15747,1.31082,0.68466,0.60264,0.6455,0.43222,1.10055,1.12076,1.28324,0.0056935,0.0056935,0.0056935
89,4971.87,0.99543,1.14576,1.30512,0.68586,0.60836,0.64658,0.4329,1.09888,1.11831,1.28204,0.005644,0.005644,0.005644
90,5028.09,0.98753,1.13736,1.29596,0.68711,0.60989,0.64926,0.437,1.09332,1.11525,1.2778,0.0055945,0.0055945,0.0055945
91,5083.35,0.98277,1.1277,1.29334,0.6762,0.61696,0.64867,0.43762,1.09043,1.11223,1.27526,0.005545,0.005545,0.005545
92,5138.39,0.98368,1.13051,1.2908,0.68643,0.61314,0.65015,0.43866,1.08873,1.11069,1.27355,0.0054955,0.0054955,0.0054955
93,5193.1,0.98413,1.12771,1.29326,0.68522,0.61447,0.65237,0.43998,1.08822,1.10618,1.27461,0.005446,0.005446,0.005446
94,5247.54,0.98669,1.12716,1.29246,0.68181,0.61988,0.65362,0.44175,1.08542,1.10163,1.27351,0.0053965,0.0053965,0.0053965
95,5302.16,0.97352,1.11386,1.28896,0.6907,0.61318,0.65456,0.44368,1.08095,1.09823,1.27117,0.005347,0.005347,0.005347
96,5356.5,0.97556,1.10832,1.28927,0.68534,0.62177,0.65607,0.44566,1.08023,1.09542,1.26965,0.0052975,0.0052975,0.0052975
97,5411.13,0.97357,1.1036,1.28783,0.68957,0.62183,0.65871,0.44773,1.07635,1.0906,1.26635,0.005248,0.005248,0.005248
98,5465.51,0.96821,1.09507,1.279,0.689,0.61829,0.65767,0.44865,1.07451,1.08856,1.26395,0.0051985,0.0051985,0.0051985
99,5520,0.9718,1.08956,1.2829,0.68291,0.6255,0.65975,0.4508,1.07291,1.08313,1.26209,0.005149,0.005149,0.005149
100,5574.62,0.95343,1.07234,1.26806,0.68925,0.62517,0.66056,0.45177,1.07091,1.08104,1.26061,0.0050995,0.0050995,0.0050995
101,5629.08,0.96148,1.09,1.27834,0.69294,0.62307,0.66187,0.45201,1.06944,1.07957,1.25911,0.00505,0.00505,0.00505
102,5683.63,0.96026,1.07845,1.27311,0.67867,0.62574,0.65303,0.44529,1.07468,1.09059,1.26415,0.0050005,0.0050005,0.0050005
103,5738.06,0.96566,1.09474,1.27227,0.68047,0.62326,0.65425,0.44754,1.07189,1.08657,1.26144,0.004951,0.004951,0.004951
104,5792.52,0.95422,1.07579,1.2725,0.69035,0.61984,0.65518,0.44853,1.07074,1.08178,1.26005,0.0049015,0.0049015,0.0049015
105,5847.02,0.94847,1.06591,1.26487,0.68658,0.62536,0.6559,0.44992,1.06871,1.07895,1.25859,0.004852,0.004852,0.004852
106,5901.43,0.95674,1.07682,1.27326,0.68975,0.62402,0.65717,0.45143,1.06692,1.07568,1.25719,0.0048025,0.0048025,0.0048025
107,5956.16,0.95067,1.05728,1.26355,0.69346,0.62332,0.65763,0.45214,1.06583,1.07249,1.25648,0.004753,0.004753,0.004753
108,6010.53,0.94992,1.06712,1.26793,0.69305,0.62498,0.65798,0.45168,1.0647,1.07119,1.25604,0.0047035,0.0047035,0.0047035
109,6065.01,0.94008,1.0491,1.26004,0.69251,0.6257,0.65872,0.45253,1.06283,1.06952,1.25407,0.004654,0.004654,0.004654
110,6119.56,0.94125,1.04824,1.26306,0.68918,0.6309,0.65889,0.45323,1.0627,1.06924,1.25349,0.0046045,0.0046045,0.0046045
111,6174.01,0.93606,1.03357,1.25401,0.68903,0.63169,0.65969,0.45362,1.063,1.06792,1.25338,0.004555,0.004555,0.004555
112,6228.67,0.93709,1.04611,1.25637,0.68671,0.63285,0.65993,0.455,1.06021,1.06563,1.25134,0.0045055,0.0045055,0.0045055
113,6284.17,0.9251,1.02832,1.25002,0.68865,0.63376,0.66121,0.45627,1.05791,1.06277,1.24951,0.004456,0.004456,0.004456
114,6338.75,0.92846,1.0369,1.25473,0.69336,0.63242,0.66235,0.45696,1.05599,1.06032,1.2479,0.0044065,0.0044065,0.0044065
115,6393.44,0.9252,1.01819,1.24802,0.69569,0.63209,0.66394,0.45791,1.05394,1.05751,1.24608,0.004357,0.004357,0.004357
116,6447.87,0.92547,1.02839,1.25139,0.69454,0.63171,0.66499,0.45939,1.05177,1.05282,1.24443,0.0043075,0.0043075,0.0043075
117,6502.2,0.92509,1.02559,1.24939,0.69745,0.63032,0.66571,0.46075,1.04943,1.05043,1.24275,0.004258,0.004258,0.004258
118,6556.99,0.92321,1.01054,1.24082,0.69803,0.63166,0.66643,0.46129,1.04784,1.04825,1.24128,0.0042085,0.0042085,0.0042085
119,6611.87,0.92464,1.01799,1.2421,0.69638,0.63198,0.66704,0.46204,1.04645,1.04739,1.24041,0.004159,0.004159,0.004159
120,6666.37,0.9148,1.00991,1.23691,0.69642,0.63281,0.66783,0.46324,1.04519,1.04543,1.23949,0.0041095,0.0041095,0.0041095
121,6721.02,0.91637,1.00684,1.24187,0.69751,0.63414,0.66876,0.464,1.0445,1.04416,1.23941,0.00406,0.00406,0.00406
122,6775.23,0.90439,1.00609,1.23288,0.69663,0.63361,0.66911,0.46487,1.04378,1.0432,1.2386,0.0040105,0.0040105,0.0040105
123,6829.73,0.91318,0.99262,1.23403,0.69912,0.63404,0.66999,0.46524,1.04296,1.04145,1.23781,0.003961,0.003961,0.003961
124,6884.16,0.90681,0.98919,1.23457,0.69992,0.63601,0.67069,0.46641,1.04142,1.04001,1.23649,0.0039115,0.0039115,0.0039115
125,6939.43,0.90291,0.98729,1.23497,0.70265,0.63668,0.6717,0.46757,1.04026,1.03703,1.23587,0.003862,0.003862,0.003862
126,6994.67,0.90578,0.9906,1.23201,0.70245,0.63741,0.67225,0.46791,1.03981,1.03534,1.23552,0.0038125,0.0038125,0.0038125
127,7049.41,0.90789,0.98216,1.22971,0.70385,0.6393,0.67275,0.46844,1.03866,1.03337,1.23425,0.003763,0.003763,0.003763
128,7104.28,0.9003,0.97654,1.22535,0.70489,0.63949,0.67356,0.46934,1.03747,1.03201,1.23327,0.0037135,0.0037135,0.0037135
129,7158.76,0.89783,0.98163,1.22641,0.70663,0.63911,0.67384,0.46989,1.03655,1.03023,1.23239,0.003664,0.003664,0.003664
130,7213.11,0.89276,0.96173,1.22146,0.70735,0.63969,0.67444,0.47065,1.03556,1.02844,1.2315,0.0036145,0.0036145,0.0036145
131,7267.68,0.89272,0.96728,1.224,0.7066,0.64044,0.67433,0.47063,1.0353,1.02762,1.23179,0.003565,0.003565,0.003565
132,7322.37,0.89502,0.96387,1.22072,0.7069,0.64107,0.67462,0.47083,1.03471,1.02665,1.23101,0.0035155,0.0035155,0.0035155
133,7376.78,0.88338,0.95896,1.21928,0.70598,0.64293,0.67541,0.47115,1.03334,1.02557,1.22959,0.003466,0.003466,0.003466
134,7431.67,0.88309,0.95881,1.21875,0.70753,0.64301,0.67591,0.47198,1.03256,1.02412,1.22897,0.0034165,0.0034165,0.0034165
135,7486.91,0.8836,0.96239,1.21896,0.70763,0.64388,0.67657,0.47281,1.03143,1.02201,1.22824,0.003367,0.003367,0.003367
136,7541.59,0.8754,0.94779,1.21671,0.70692,0.64655,0.67804,0.47362,1.03024,1.02087,1.22711,0.0033175,0.0033175,0.0033175
137,7595.91,0.87923,0.94505,1.21496,0.70426,0.64751,0.67823,0.47427,1.02921,1.0194,1.22626,0.003268,0.003268,0.003268
138,7650.32,0.88173,0.9547,1.2148,0.70318,0.64808,0.67828,0.4746,1.02845,1.018,1.22548,0.0032185,0.0032185,0.0032185
139,7705.74,0.87452,0.95274,1.21145,0.70568,0.64865,0.67875,0.47458,1.02807,1.01702,1.22513,0.003169,0.003169,0.003169
140,7760.09,0.87034,0.94055,1.20599,0.70451,0.64942,0.67937,0.47504,1.02745,1.01634,1.22444,0.0031195,0.0031195,0.0031195
141,7814.91,0.87522,0.94325,1.21018,0.70361,0.65095,0.67985,0.4753,1.02658,1.01502,1.22365,0.00307,0.00307,0.00307
142,7869.85,0.86923,0.92966,1.20687,0.70394,0.65152,0.6803,0.4764,1.025,1.01387,1.22187,0.0030205,0.0030205,0.0030205
143,7924.55,0.87031,0.933,1.20814,0.70887,0.64942,0.68098,0.47686,1.02447,1.01301,1.2216,0.002971,0.002971,0.002971
144,7979.09,0.86611,0.92559,1.20196,0.71039,0.65012,0.68135,0.47711,1.0234,1.01227,1.22048,0.0029215,0.0029215,0.0029215
145,8033.47,0.85883,0.92215,1.2051,0.71318,0.64904,0.68162,0.47747,1.02247,1.01083,1.21988,0.002872,0.002872,0.002872
146,8087.94,0.86277,0.91865,1.20157,0.71407,0.64854,0.68172,0.47813,1.02215,1.00979,1.21955,0.0028225,0.0028225,0.0028225
147,8143.42,0.86003,0.91949,1.19796,0.71337,0.6498,0.68256,0.47849,1.02171,1.00839,1.21923,0.002773,0.002773,0.002773
148,8197.82,0.85717,0.9143,1.19652,0.71437,0.64997,0.6829,0.47897,1.02105,1.00774,1.21841,0.0027235,0.0027235,0.0027235
149,8253.05,0.85228,0.89586,1.19438,0.71557,0.64997,0.68329,0.47947,1.02027,1.00592,1.21764,0.002674,0.002674,0.002674
150,8307.34,0.85651,0.91169,1.19565,0.71445,0.64999,0.68346,0.47967,1.01968,1.00441,1.2172,0.0026245,0.0026245,0.0026245
151,8361.98,0.85568,0.90879,1.19347,0.71462,0.65075,0.68393,0.48022,1.01841,1.00323,1.21586,0.002575,0.002575,0.002575
152,8416.51,0.84987,0.89926,1.1889,0.71523,0.65095,0.68421,0.48044,1.01838,1.00242,1.216,0.0025255,0.0025255,0.0025255
153,8470.82,0.84899,0.90349,1.19043,0.71617,0.6498,0.68432,0.48072,1.01739,1.00141,1.21486,0.002476,0.002476,0.002476
154,8525.36,0.84659,0.90216,1.19253,0.71779,0.64983,0.68488,0.48113,1.01644,0.99993,1.21383,0.0024265,0.0024265,0.0024265
155,8579.77,0.83501,0.89214,1.18547,0.71715,0.65133,0.68506,0.48142,1.01605,0.99904,1.21353,0.002377,0.002377,0.002377
156,8634.25,0.85,0.89887,1.18937,0.71923,0.64961,0.68541,0.48194,1.01527,0.99784,1.21284,0.0023275,0.0023275,0.0023275
157,8688.71,0.83606,0.88131,1.18078,0.71767,0.65091,0.68593,0.48214,1.0151,0.99703,1.21248,0.002278,0.002278,0.002278
158,8743.25,0.83948,0.89128,1.18631,0.71877,0.65133,0.68636,0.48261,1.0147,0.99608,1.21218,0.0022285,0.0022285,0.0022285
159,8797.72,0.8348,0.88137,1.18078,0.71835,0.6519,0.68643,0.48286,1.01441,0.99598,1.21187,0.002179,0.002179,0.002179
160,8852.22,0.8376,0.88276,1.17982,0.71963,0.65039,0.68719,0.48345,1.01374,0.99503,1.21108,0.0021295,0.0021295,0.0021295
